Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
2025,30,873,29.2,4.45,4.15,4860,0.99,0.01,0,0.07,0.25,8.86,8.26,4.45,4.09,1.16,3.16,0.11,8.36,0.4,0.04,0.29,37.64,1.289,0.291,8.4,1.2,3.2,8.5,2.64,0.5
2024,30,855,29,4.39,4.07,4858,0.99,0.01,0,0.07,0.25,8.88,8.2,4.39,4.02,1.12,3.07,0.1,8.48,0.42,0.04,0.3,37.56,1.27,0.291,8.3,1.1,3.1,8.6,2.76,0.53
2023,30,863,28.9,4.62,4.33,4860,0.99,0.01,0,0.06,0.26,8.87,8.4,4.62,4.26,1.21,3.25,0.1,8.61,0.43,0.04,0.33,37.88,1.315,0.297,8.5,1.2,3.3,8.7,2.65,0.52
2022,30,871,28.8,4.28,3.96,4860,0.99,0.01,0,0.07,0.25,8.86,8.16,4.28,3.9,1.07,3.06,0.1,8.4,0.42,0.03,0.33,37.46,1.266,0.29,8.3,1.1,3.1,8.5,2.75,0.53
2021,30,909,28.7,4.53,4.26,4858,0.99,0.01,0.01,0.06,0.25,8.77,8.13,4.53,4.15,1.22,3.25,0.14,8.68,0.43,0.03,0.38,37.43,1.297,0.292,8.3,1.3,3.3,8.9,2.67,0.54
2020,30,735,28.3,4.65,4.44,1796,0.98,0.02,0.01,0.06,0.23,8.61,8.04,4.65,4.25,1.28,3.39,0.11,8.68,0.46,0.04,0.38,37.03,1.327,0.292,8.4,1.3,3.5,9.1,2.56,0.58
2019,30,831,28.4,4.83,4.49,4858,0.99,0.01,0.01,0.06,0.24,8.94,8.65,4.83,4.46,1.39,3.27,0.16,8.81,0.41,0.03,0.37,38.39,1.334,0.298,8.7,1.4,3.3,8.9,2.69,0.6
2018,30,799,28.4,4.45,4.14,4862,0.99,0.01,0,0.06,0.26,8.94,8.44,4.45,4.12,1.15,3.23,0.19,8.48,0.4,0.03,0.38,38.08,1.304,0.296,8.5,1.2,3.2,8.5,2.63,0.57
2017,30,755,28.5,4.65,4.35,4860,0.99,0.01,0.01,0.05,0.24,8.9,8.69,4.65,4.3,1.26,3.26,0.2,8.25,0.36,0.03,0.37,38.13,1.342,0.3,8.8,1.3,3.3,8.3,2.53,0.58
2016,30,742,28.3,4.48,4.18,4856,0.98,0.02,0.01,0.06,0.26,8.92,8.71,4.48,4.14,1.16,3.11,0.19,8.03,0.34,0.03,0.37,38.01,1.325,0.3,8.8,1.2,3.1,8.1,2.58,0.58
2015,30,735,28.4,4.25,3.95,4858,0.98,0.02,0.01,0.07,0.27,8.94,8.67,4.25,3.93,1.01,2.9,0.2,7.71,0.33,0.03,0.36,37.8,1.294,0.299,8.7,1,2.9,7.8,2.66,0.58
2014,30,692,28.5,4.07,3.74,4860,0.98,0.02,0.01,0.07,0.26,8.97,8.56,4.07,3.73,0.86,2.88,0.2,7.7,0.34,0.03,0.35,37.85,1.275,0.299,8.6,0.9,2.9,7.7,2.67,0.6
2013,30,679,28.4,4.17,3.86,4862,0.97,0.03,0.01,0.07,0.26,8.98,8.66,4.17,3.85,0.96,3.01,0.21,7.55,0.32,0.03,0.36,38.02,1.3,0.297,8.7,1,3,7.6,2.51,0.56
2012,30,662,28.4,4.32,4.01,4860,0.97,0.03,0.01,0.06,0.26,8.92,8.65,4.32,3.97,1.02,3.03,0.22,7.5,0.31,0.03,0.32,37.9,1.309,0.297,8.7,1,3.1,7.6,2.48,0.62
2011,30,662,28.3,4.28,3.94,4858,0.96,0.04,0.02,0.07,0.26,8.96,8.7,4.28,3.92,0.94,3.09,0.25,7.1,0.32,0.03,0.32,38.13,1.316,0.295,8.7,0.9,3.1,7.1,2.3,0.63
2010,30,635,28.4,4.38,4.07,4860,0.97,0.03,0.01,0.07,0.25,8.91,8.76,4.38,4.03,0.95,3.25,0.25,7.06,0.32,0.04,0.34,38.18,1.347,0.297,8.8,1,3.3,7.1,2.17,0.62
2009,30,664,28.4,4.61,4.31,4860,0.97,0.03,0.01,0.06,0.25,8.9,8.96,4.61,4.27,1.04,3.42,0.24,6.91,0.33,0.03,0.33,38.49,1.39,0.299,9.1,1,3.5,7,2.02,0.59
2008,30,651,28.6,4.65,4.32,4856,0.97,0.03,0.01,0.06,0.24,8.93,9.06,4.65,4.28,1,3.36,0.27,6.77,0.34,0.03,0.32,38.64,1.391,0.3,9.1,1,3.4,6.8,2.01,0.61
2007,30,666,28.7,4.8,4.46,4862,0.98,0.02,0.01,0.05,0.25,8.93,9.25,4.8,4.43,1.02,3.31,0.27,6.62,0.36,0.03,0.31,38.8,1.406,0.303,9.3,1,3.3,6.7,2,0.61
2006,30,635,28.8,4.86,4.52,4858,0.97,0.03,0.01,0.05,0.25,8.9,9.28,4.86,4.47,1.11,3.26,0.29,6.52,0.37,0.03,0.31,38.71,1.408,0.301,9.4,1.1,3.3,6.6,2,0.63
2005,30,606,29.2,4.59,4.28,4862,0.96,0.04,0.01,0.05,0.26,8.89,9.05,4.59,4.23,1.03,3.13,0.25,6.3,0.37,0.03,0.3,38.32,1.369,0.295,9.2,1,3.2,6.4,2.02,0.63
2004,30,632,29.1,4.81,4.46,4856,0.97,0.03,0.01,0.05,0.25,8.94,9.17,4.81,4.42,1.12,3.34,0.28,6.55,0.38,0.03,0.3,38.83,1.4,0.297,9.2,1.1,3.4,6.6,1.96,0.65
2003,30,612,28.7,4.73,4.39,4860,0.96,0.04,0.01,0.05,0.25,8.92,9.07,4.73,4.35,1.07,3.27,0.27,6.34,0.38,0.03,0.32,38.57,1.383,0.294,9.1,1.1,3.3,6.4,1.94,0.65
